day,dayOfWeek,postLength,mediaType,postingTime,impressions
1,Sunday,1500,image,afternoon,33728
2,Monday,1500,image,afternoon,32252
3,Tuesday,1500,image,afternoon,2516
4,Wednesday,1500,image,afternoon,108838
5,Thursday,1500,image,afternoon,23479
6,Friday,1500,image,afternoon,33037
7,Saturday,1500,image,afternoon,414
8,Sunday,1500,image,afternoon,100062
9,Monday,1500,image,afternoon,5148
10,Tuesday,1500,image,afternoon,34664
11,Wednesday,1500,image,afternoon,2210
12,Thursday,1500,image,afternoon,2757
13,Friday,1500,image,afternoon,83840
14,Saturday,1500,image,afternoon,7200
15,Sunday,1500,image,afternoon,507
16,Monday,1500,image,afternoon,20286
17,Tuesday,1500,image,afternoon,3808
18,Wednesday,1500,image,afternoon,5155
19,Thursday,1500,image,afternoon,56469
20,Friday,1500,image,afternoon,28026
21,Saturday,1500,image,afternoon,57592
22,Sunday,1500,image,afternoon,38368
23,Monday,1500,image,afternoon,12618
24,Tuesday,1500,image,afternoon,37926
25,Wednesday,1500,image,afternoon,11545
26,Thursday,1500,image,afternoon,25074
27,Friday,1500,image,afternoon,64350
28,Saturday,1500,image,afternoon,18
29,Sunday,1500,image,afternoon,46713
30,Monday,1500,image,afternoon,12150
1,Sunday,1500,image,evening,13230
2,Monday,1500,image,evening,43159
3,Tuesday,1500,image,evening,25132
4,Wednesday,1500,image,evening,36058
5,Thursday,1500,image,evening,8419
6,Friday,1500,image,evening,3100
7,Saturday,1500,image,evening,5116
8,Sunday,1500,image,evening,40999
9,Monday,1500,image,evening,1777
10,Tuesday,1500,image,evening,84870
11,Wednesday,1500,image,evening,133767
12,Thursday,1500,image,evening,68895
13,Friday,1500,image,evening,12555
14,Saturday,1500,image,evening,11587
15,Sunday,1500,image,evening,51534
16,Monday,1500,image,evening,36153
17,Tuesday,1500,image,evening,265603
18,Wednesday,1500,image,evening,21955
19,Thursday,1500,image,evening,15264
20,Friday,1500,image,evening,13216
21,Saturday,1500,image,evening,28687
22,Sunday,1500,image,evening,41157
23,Monday,1500,image,evening,51111
24,Tuesday,1500,image,evening,140737
25,Wednesday,1500,image,evening,32044
26,Thursday,1500,image,evening,91327
27,Friday,1500,image,evening,55080
28,Saturday,1500,image,evening,4000
29,Sunday,1500,image,evening,14467
30,Monday,1500,image,evening,93640
1,Sunday,750,image,evening,20533
2,Monday,750,image,evening,138267
3,Tuesday,750,image,evening,62617
4,Wednesday,750,image,evening,22617
5,Thursday,750,image,evening,107667
6,Friday,750,image,evening,21051
7,Saturday,750,image,evening,27225
8,Sunday,750,image,evening,27666
9,Monday,750,image,evening,70762
10,Tuesday,750,image,evening,24682
11,Wednesday,750,image,evening,46557
12,Thursday,750,image,evening,9405
13,Friday,750,image,evening,26028
14,Saturday,750,image,evening,46543
15,Sunday,750,image,evening,40104
16,Monday,750,image,evening,93847
17,Tuesday,750,image,evening,151551
18,Wednesday,750,image,evening,49176
19,Thursday,750,image,evening,7137
20,Friday,750,image,evening,42835
21,Saturday,750,image,evening,83466
22,Sunday,750,image,evening,31153
23,Monday,750,image,evening,54576
24,Tuesday,750,image,evening,18711
25,Wednesday,750,image,evening,23076
26,Thursday,750,image,evening,28872
27,Friday,750,image,evening,50620
28,Saturday,750,image,evening,72283
29,Sunday,750,image,evening,116662
30,Monday,750,image,evening,14854
1,Sunday,750,image,evening,74308
2,Monday,750,image,evening,77472
3,Tuesday,750,image,evening,79866
4,Wednesday,750,image,evening,56389
5,Thursday,750,image,evening,52902
6,Friday,750,image,evening,166720
7,Saturday,750,image,evening,9360
8,Sunday,750,image,evening,43695
9,Monday,750,image,evening,36387
10,Tuesday,750,image,evening,9004
11,Wednesday,750,image,evening,22972
12,Thursday,750,image,evening,21366
13,Friday,750,image,evening,18459
14,Saturday,750,image,evening,14283
15,Sunday,750,image,evening,22347
16,Monday,750,image,evening,21235
17,Tuesday,750,image,evening,35734
18,Wednesday,750,image,evening,44469
19,Thursday,750,image,evening,1071
20,Friday,750,image,evening,3001
21,Saturday,750,image,evening,57982
22,Sunday,750,image,evening,9562
23,Monday,750,image,evening,30703
24,Tuesday,750,image,evening,2511
25,Wednesday,750,image,evening,24790
26,Thursday,750,image,evening,84910
27,Friday,750,image,evening,21280
28,Saturday,750,image,evening,39762
29,Sunday,750,image,evening,97668
30,Monday,750,image,evening,16902
1,Sunday,750,image,evening,19521
2,Monday,750,image,evening,8113
3,Tuesday,750,image,evening,5305
4,Wednesday,750,image,evening,27157
5,Thursday,750,image,evening,21420
6,Friday,750,image,evening,30195
7,Saturday,750,image,evening,35230
8,Sunday,750,image,evening,14436
9,Monday,750,image,evening,26244
10,Tuesday,750,image,evening,26122
